emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,individual_id
calm,0,78.93515420777408,51.47087507091413,0.273,0.144,13.944,36.72,-0.031,0.031,9.803,0.126,96.9,2025-07-16T19:04:08.123567,26
anxious,4,97.29653196619499,15.197892513222495,0.764,0.151,32.0,36.86,-0.041,0.088,9.893,0.719,95.1,2025-07-16T19:04:08.504720,38
excited,2,61.45909934473354,28.44511256117715,0.749,0.328,14.331,36.73,0.235,-0.264,9.752,0.421,95.9,2025-07-16T19:04:08.365308,30
calm,0,68.24675923600894,35.748796624094034,0.391,0.153,16.49,36.76,0.203,-0.036,9.832,0.89,97.5,2025-07-16T19:04:08.135181,24
calm,0,55.27906936685077,49.087698729863796,0.168,0.164,18.0,36.25,0.262,0.17,9.9,0.206,97.6,2025-07-16T19:04:08.104716,48
fatigued,5,55.877082784902264,31.838964133327504,0.196,0.065,13.639,36.53,-0.033,0.024,9.779,0.254,97.8,2025-07-16T19:04:08.639370,18
stressed,3,87.63443158748099,13.958526712729316,0.5,0.202,21.17,36.79,0.018,-0.032,9.893,0.666,95.6,2025-07-16T19:04:08.431989,3
excited,2,86.92909565076913,28.184870669241075,0.445,0.465,14.478,36.69,0.458,0.543,9.932,0.415,96.4,2025-07-16T19:04:08.410874,26
anxious,4,93.55297998294297,17.704263597041383,0.624,0.268,25.496,36.77,-0.578,0.542,9.899,0.989,96.1,2025-07-16T19:04:08.550936,2
calm,0,49.80571913714827,41.458657552575545,0.35,0.131,15.513,36.41,0.198,-0.123,9.781,0.368,97.6,2025-07-16T19:04:08.138978,6
fatigued,5,79.46858558870598,33.24361115852383,0.357,0.05,12.31,36.51,0.004,-0.03,9.819,0.29,96.3,2025-07-16T19:04:08.612177,15
fatigued,5,73.62498030798712,33.63488295168314,0.19,0.076,8.042,36.42,0.044,-0.039,9.787,0.616,97.0,2025-07-16T19:04:08.595463,49
focused,1,56.473293606974714,49.741165408548255,0.472,0.056,16.054,36.68,0.057,-0.014,9.772,0.162,96.0,2025-07-16T19:04:08.297432,22
stressed,3,116.00599821166225,17.825991875268517,0.5,0.305,16.245,36.94,0.206,-0.242,9.731,0.924,95.6,2025-07-16T19:04:08.481947,27
fatigued,5,72.72649008618535,20.217559014859816,0.167,0.143,10.945,36.6,0.029,0.217,9.522,0.674,96.7,2025-07-16T19:04:08.657503,41
stressed,3,88.7629705983108,15.057237726086356,0.9,0.277,21.436,36.96,-0.072,0.088,9.554,0.139,95.0,2025-07-16T19:04:08.471039,6
anxious,4,115.64160779842031,19.159778876656475,0.814,0.225,21.779,36.98,0.425,0.0,9.78,0.438,94.7,2025-07-16T19:04:08.512981,42
calm,0,48.33911857901701,41.136790839159836,0.3,0.079,12.252,36.55,-0.029,-0.057,9.822,0.897,96.9,2025-07-16T19:04:08.141291,18
excited,2,78.15941409139711,26.942901132373127,0.541,0.422,19.784,36.83,0.263,-0.75,9.287,0.682,96.3,2025-07-16T19:04:08.327981,24
focused,1,76.63428319644024,38.18969226039345,0.449,0.042,17.584,36.6,-0.019,0.014,9.765,0.239,96.8,2025-07-16T19:04:08.280885,0
stressed,3,91.10400208286175,33.56144236418835,0.509,0.368,17.575,36.9,0.517,0.413,9.852,0.212,96.3,2025-07-16T19:04:08.438307,16
calm,0,88.00879123145313,30.986542326749625,0.23,0.0,10.947,36.39,0.0,0.0,9.8,0.938,97.9,2025-07-16T19:04:08.194579,11
anxious,4,140.38455395508817,25.953544368786986,0.68,0.379,18.0,37.19,-0.52,0.69,9.772,0.181,94.8,2025-07-16T19:04:08.501934,45
focused,1,60.38846986935868,34.38244043836496,0.526,0.043,14.886,36.49,-0.024,0.022,9.811,0.525,96.2,2025-07-16T19:04:08.247284,30
calm,0,43.80346786467745,46.84861761998219,0.292,0.083,15.05,36.18,-0.018,-0.014,9.787,0.196,96.7,2025-07-16T19:04:08.108034,29
calm,0,91.19228608799702,37.52527045260257,0.391,0.176,16.395,36.71,0.096,-0.04,9.748,0.191,95.8,2025-07-16T19:04:08.137664,4
calm,0,51.98793952964963,48.402915861465154,0.339,0.125,15.663,36.29,0.325,0.048,9.707,0.678,96.7,2025-07-16T19:04:08.165482,44
focused,1,76.5929601757286,36.578713590548155,0.387,0.05,14.816,36.62,-0.05,-0.002,9.819,0.814,96.9,2025-07-16T19:04:08.224670,9
focused,1,77.39411899916247,51.88717618476887,0.383,0.067,15.892,36.62,0.031,-0.018,9.795,0.847,96.7,2025-07-16T19:04:08.234410,21
fatigued,5,85.35833876752898,21.424221739161986,0.285,0.274,14.495,36.75,-0.053,0.081,10.084,0.687,96.5,2025-07-16T19:04:08.637180,49
anxious,4,87.56385619055165,22.056358447643454,0.942,0.632,23.639,36.98,-0.206,0.447,9.616,0.702,94.8,2025-07-16T19:04:08.518283,38
fatigued,5,64.41917962020855,21.999359870157686,0.239,0.143,16.0,36.4,-0.098,0.139,9.769,0.48,97.2,2025-07-16T19:04:08.617365,12
excited,2,68.03491571767415,26.954555403391467,0.639,0.452,14.131,36.91,0.062,0.291,9.368,0.229,95.4,2025-07-16T19:04:08.326050,19
calm,0,83.18359374402267,43.24512910274007,0.333,0.07,13.228,36.67,-0.003,0.021,9.792,0.669,98.1,2025-07-16T19:04:08.215207,47
stressed,3,92.93799720027424,20.67890579241321,0.502,0.303,17.997,36.82,0.156,-0.49,9.788,0.687,95.9,2025-07-16T19:04:08.415519,26
stressed,3,94.36216376086874,24.082893419470594,0.708,0.238,16.05,36.85,0.073,0.309,9.668,0.664,94.8,2025-07-16T19:04:08.492831,20
excited,2,87.95575501220029,37.83675925891565,0.504,0.457,17.561,36.95,-0.097,-0.176,9.46,0.93,96.2,2025-07-16T19:04:08.377224,36
fatigued,5,63.5379386375441,21.418799092671183,0.278,0.18,15.307,36.55,-0.081,-0.162,9.844,0.921,98.7,2025-07-16T19:04:08.642130,37
focused,1,69.50970205369022,48.671882580645494,0.337,0.054,13.854,36.47,-0.033,-0.042,9.806,0.436,98.1,2025-07-16T19:04:08.228847,33
anxious,4,85.3851406612301,11.586531638666896,0.95,0.152,28.402,36.56,0.143,-0.07,9.869,0.356,95.6,2025-07-16T19:04:08.546259,1
anxious,4,89.04391680439504,12.251748314502676,0.669,0.198,30.372,36.76,-0.079,0.214,9.789,0.627,95.2,2025-07-16T19:04:08.537162,46
fatigued,5,70.78673507659326,32.81054590941852,0.261,0.1,9.443,36.4,0.056,0.107,9.848,0.708,97.6,2025-07-16T19:04:08.622743,25
stressed,3,91.88567072118188,24.655039778072975,0.699,0.419,22.019,37.16,-0.472,-0.093,9.83,0.988,94.5,2025-07-16T19:04:08.484877,30
calm,0,56.54549154481022,49.20311931423112,0.277,0.04,14.864,36.49,-0.012,-0.019,9.788,0.351,97.1,2025-07-16T19:04:08.167330,30
calm,0,50.15878627567581,38.65512346122233,0.226,0.079,15.522,36.24,0.037,-0.119,9.802,0.931,97.6,2025-07-16T19:04:08.203890,18
excited,2,103.81766247908902,21.020923977473576,0.755,0.406,15.818,37.0,-0.405,-0.231,9.481,0.896,96.6,2025-07-16T19:04:08.378856,15
fatigued,5,61.85873591182574,26.58053432659253,0.195,0.144,13.288,36.45,-0.074,-0.068,9.711,0.424,97.3,2025-07-16T19:04:08.644162,39
excited,2,64.01206778172983,45.430483396913765,0.613,0.395,18.783,36.64,0.672,-0.132,9.684,0.801,96.4,2025-07-16T19:04:08.307550,18
stressed,3,92.65284597766174,4.332755598649064,0.5,0.413,28.0,37.05,0.091,0.322,10.258,0.168,95.4,2025-07-16T19:04:08.435058,24
stressed,3,97.61929802042233,15.953188076000536,0.667,0.402,16.409,36.94,0.225,0.427,9.719,0.13,95.5,2025-07-16T19:04:08.425427,48
focused,1,58.53851779915204,64.00088667843069,0.37,0.039,17.169,36.44,-0.013,0.024,9.78,0.564,96.3,2025-07-16T19:04:08.271258,22
fatigued,5,60.9552168106556,30.943177670115933,0.336,0.05,15.07,36.44,0.052,0.014,9.757,0.976,97.1,2025-07-16T19:04:08.595144,46
focused,1,72.21833116951039,42.642223193428364,0.435,0.071,16.007,36.63,-0.084,0.054,9.773,0.551,96.9,2025-07-16T19:04:08.299496,13
excited,2,102.03304144459322,30.045079079869073,0.498,0.359,15.488,37.09,-0.044,-0.138,9.835,0.765,95.6,2025-07-16T19:04:08.358304,1
excited,2,94.68559130453593,55.17109661450353,0.694,0.367,19.129,36.85,-0.15,0.107,9.501,0.524,95.8,2025-07-16T19:04:08.317766,14
fatigued,5,65.04637600181641,25.842308417892863,0.325,0.142,14.24,36.54,0.004,-0.024,9.869,0.272,96.8,2025-07-16T19:04:08.600602,12
calm,0,58.5130584152324,31.648209427144508,0.278,0.155,12.924,36.46,0.222,-0.055,9.864,0.275,98.1,2025-07-16T19:04:08.173407,17
stressed,3,106.45415216592025,16.926729940592818,0.619,0.481,23.586,37.12,-0.219,0.073,9.989,0.896,94.6,2025-07-16T19:04:08.424394,1
stressed,3,100.26708250447116,18.10611642328472,0.742,0.252,18.211,36.84,0.117,-0.152,10.022,0.651,95.4,2025-07-16T19:04:08.474123,34
anxious,4,117.90710404971547,18.520655514870604,0.748,0.196,18.0,36.86,0.181,-0.076,9.828,0.215,95.6,2025-07-16T19:04:08.574762,27
excited,2,97.54771675612722,32.6339262065025,0.616,0.341,23.81,36.76,-0.099,-0.092,9.324,0.728,95.5,2025-07-16T19:04:08.314961,39
anxious,4,80.11148091087574,26.64668727502441,0.81,0.55,21.388,36.88,-0.054,-0.545,9.803,0.607,94.9,2025-07-16T19:04:08.509525,46
excited,2,96.50008676687719,21.809453683611732,0.691,0.281,18.947,36.84,-0.094,0.118,9.731,0.634,95.4,2025-07-16T19:04:08.355408,27
excited,2,70.19283257804813,28.016280682413573,0.576,0.213,21.666,36.69,0.306,-0.33,9.8,0.514,95.3,2025-07-16T19:04:08.374657,3
fatigued,5,60.2636319636141,25.484649022552723,0.358,0.174,8.846,36.58,-0.067,0.187,9.743,0.822,97.3,2025-07-16T19:04:08.589538,31
stressed,3,90.50552823859813,19.208664850393784,0.5,0.329,25.065,36.82,-0.34,0.174,9.966,0.464,96.3,2025-07-16T19:04:08.440241,44
fatigued,5,64.1992896882999,24.17032730595042,0.224,0.08,10.668,36.74,-0.008,-0.1,9.767,0.194,97.6,2025-07-16T19:04:08.661153,46
anxious,4,106.36087756747153,20.270951720016797,0.79,0.56,29.577,36.94,-0.947,-0.446,10.18,0.608,95.5,2025-07-16T19:04:08.550779,34
anxious,4,135.77714988851318,23.746587855363245,0.894,0.569,18.0,37.42,-0.594,-0.106,9.531,0.509,93.7,2025-07-16T19:04:08.522485,41
stressed,3,91.34802980377681,13.300630187823351,0.755,0.539,19.682,36.74,-0.628,0.687,9.781,0.486,95.1,2025-07-16T19:04:08.441876,33
focused,1,90.97136798876029,50.45549199347168,0.398,0.066,15.308,36.7,-0.006,0.014,9.81,0.874,95.7,2025-07-16T19:04:08.244447,49
anxious,4,136.51219059717621,14.546948195499764,0.855,0.459,18.0,37.28,-0.257,-0.402,9.869,0.127,94.4,2025-07-16T19:04:08.523732,5
focused,1,78.79092265924106,62.074672927644166,0.409,0.059,14.22,36.74,-0.028,0.024,9.785,0.277,96.8,2025-07-16T19:04:08.234902,16
focused,1,73.0119473066035,48.90453077006202,0.382,0.064,15.273,36.43,-0.07,-0.035,9.752,0.632,96.5,2025-07-16T19:04:08.302670,36
excited,2,109.95527672273766,33.8680220526466,0.586,0.386,15.097,36.82,-0.343,-0.394,9.487,0.857,96.2,2025-07-16T19:04:08.396466,40
focused,1,85.94245565821632,47.00751372028409,0.512,0.065,15.65,36.55,0.029,0.029,9.793,0.168,96.7,2025-07-16T19:04:08.274874,42
fatigued,5,55.151930664140586,28.108047593718887,0.174,0.101,12.598,36.67,0.052,-0.114,9.842,0.603,97.6,2025-07-16T19:04:08.612505,19
excited,2,97.7698551584669,32.82678800400941,0.692,0.538,18.159,37.24,0.282,0.144,9.872,0.251,95.5,2025-07-16T19:04:08.404265,25
excited,2,84.77179475357975,32.848649843028376,0.509,0.642,17.777,37.03,0.44,-0.989,9.765,0.781,96.6,2025-07-16T19:04:08.334165,33
calm,0,62.3579545944956,45.90115584494741,0.235,0.127,15.616,36.39,0.09,0.032,9.898,0.801,98.0,2025-07-16T19:04:08.205865,9
anxious,4,115.26369529178481,15.80395594327412,0.863,0.165,25.475,37.0,0.005,0.27,9.826,0.166,94.6,2025-07-16T19:04:08.514077,13
focused,1,79.81116544547822,47.58618314236876,0.409,0.074,16.733,36.59,0.01,0.066,9.779,0.238,97.1,2025-07-16T19:04:08.302031,2
excited,2,94.03406477282465,38.80865371902994,0.644,0.474,24.0,36.81,0.471,0.681,9.835,0.172,96.8,2025-07-16T19:04:08.384026,33
excited,2,92.6351564772566,54.90199086541382,0.665,0.315,19.028,36.79,-0.047,0.5,9.66,0.283,96.1,2025-07-16T19:04:08.360452,10
focused,1,87.53987456082638,69.01133421198347,0.465,0.058,13.708,36.51,-0.023,-0.009,9.806,0.818,97.7,2025-07-16T19:04:08.286286,45
excited,2,104.91122288814347,24.80169638880873,0.5,0.449,14.539,36.86,0.898,0.01,10.292,0.921,96.1,2025-07-16T19:04:08.353667,33
anxious,4,123.5567212706743,17.36823237169895,0.822,0.235,25.24,37.01,-0.202,0.142,9.914,0.433,95.0,2025-07-16T19:04:08.552651,4
focused,1,76.26080687574567,56.35003876043551,0.44,0.045,14.714,36.51,-0.006,-0.006,9.769,0.72,96.9,2025-07-16T19:04:08.232603,14
anxious,4,88.79759309591535,5.34341586273569,0.837,0.275,25.175,36.93,0.208,0.037,9.806,0.989,94.4,2025-07-16T19:04:08.549068,24
anxious,4,116.50897517710565,15.981589045140415,0.935,0.301,32.0,37.02,0.288,0.059,9.61,0.256,94.3,2025-07-16T19:04:08.547349,11
stressed,3,117.50793688825634,22.389703065369524,0.826,0.103,16.507,36.97,0.003,0.066,9.803,0.345,94.8,2025-07-16T19:04:08.486823,41
focused,1,65.14422392400095,51.894501887159244,0.392,0.016,16.348,36.52,0.026,0.024,9.799,0.207,96.6,2025-07-16T19:04:08.268495,31
excited,2,93.67732122329423,38.966592696120145,0.4,0.335,16.798,36.76,-0.243,-0.063,9.75,0.983,96.1,2025-07-16T19:04:08.406049,2
fatigued,5,59.764158395945365,41.83192862187018,0.243,0.212,11.718,36.65,0.094,0.288,9.793,0.442,97.7,2025-07-16T19:04:08.646818,6
calm,0,75.79739224804611,50.865540852971584,0.288,0.14,15.029,36.58,-0.055,0.04,9.856,0.844,97.4,2025-07-16T19:04:08.213770,34
focused,1,67.54629685719713,47.15796917748976,0.419,0.009,14.642,36.42,-0.001,-0.015,9.797,0.769,96.3,2025-07-16T19:04:08.246125,3
excited,2,81.42269828290625,31.661342731303648,0.678,0.294,14.942,36.69,-0.806,-0.191,9.785,0.605,96.1,2025-07-16T19:04:08.319795,17
focused,1,83.465949401561,50.299640345905416,0.359,0.051,16.257,36.5,-0.015,0.019,9.779,0.277,96.4,2025-07-16T19:04:08.302827,8
anxious,4,120.19888629448896,19.78279844339654,0.779,0.275,24.014,37.0,0.456,-0.161,10.109,0.975,94.9,2025-07-16T19:04:08.533864,2
calm,0,58.78744379669833,36.91316680279872,0.354,0.029,16.366,36.51,0.012,0.016,9.791,0.435,97.7,2025-07-16T19:04:08.140462,18
fatigued,5,74.99518646034055,23.878972443259617,0.4,0.05,10.215,36.56,-0.007,0.033,9.837,0.257,97.1,2025-07-16T19:04:08.610056,27
fatigued,5,91.69486505504126,25.086046684904716,0.232,0.129,12.895,36.65,0.068,0.296,9.888,0.557,96.6,2025-07-16T19:04:08.646501,8
anxious,4,109.45071487705049,20.46273235103184,0.868,0.403,18.0,37.11,-0.13,-0.276,10.014,0.35,94.8,2025-07-16T19:04:08.530571,25
focused,1,79.17389875992258,48.2466801653331,0.421,0.033,17.404,36.62,-0.003,-0.005,9.806,0.814,96.7,2025-07-16T19:04:08.248599,41
calm,0,49.94299140154393,45.64126596752891,0.372,0.092,10.935,36.56,-0.122,0.001,9.754,0.747,96.7,2025-07-16T19:04:08.174948,30
stressed,3,65.71884073487611,22.93022447484391,0.599,0.334,23.322,36.64,-0.202,0.719,10.007,0.116,95.2,2025-07-16T19:04:08.423745,22
fatigued,5,63.12689026782186,25.514120650051975,0.236,0.193,9.047,36.61,-0.136,-0.476,9.872,0.747,97.7,2025-07-16T19:04:08.622276,31
excited,2,113.70658069519375,22.330858131957545,0.453,0.482,22.135,36.89,0.512,0.429,9.951,0.536,96.6,2025-07-16T19:04:08.326708,47
stressed,3,113.03493697328403,20.69855925730571,0.609,0.302,21.305,36.88,-0.403,0.119,9.891,0.27,96.4,2025-07-16T19:04:08.478197,47
excited,2,85.20836566319537,37.87484918776575,0.573,0.353,17.342,36.87,0.444,-0.074,9.295,0.525,95.3,2025-07-16T19:04:08.359278,7
fatigued,5,56.77784851269382,30.215475517097374,0.297,0.13,9.502,36.52,-0.21,-0.088,9.851,0.951,97.2,2025-07-16T19:04:08.588384,6
focused,1,78.61151186425452,43.692622022406994,0.282,0.058,15.664,36.47,0.149,0.027,9.762,0.998,97.5,2025-07-16T19:04:08.259489,15
focused,1,64.51278501916381,33.00337793040371,0.264,0.063,14.821,36.36,-0.074,-0.043,9.796,0.325,96.9,2025-07-16T19:04:08.296790,9
fatigued,5,57.27208062177568,25.170073530401325,0.151,0.311,8.113,36.54,0.01,0.176,9.599,0.702,98.2,2025-07-16T19:04:08.615747,25
calm,0,82.32644416714774,34.20218732510666,0.352,0.143,16.462,36.74,-0.017,0.071,9.678,0.744,97.1,2025-07-16T19:04:08.211418,4
focused,1,81.12959419739752,44.13307797536286,0.484,0.042,13.612,36.59,0.007,-0.092,9.81,0.142,96.3,2025-07-16T19:04:08.259654,42
anxious,4,104.63082320375818,16.649604096352718,0.703,0.516,19.027,36.95,1.172,0.858,9.852,0.542,95.4,2025-07-16T19:04:08.574268,48
excited,2,117.23044916930544,29.401861252294445,0.712,0.453,15.105,36.99,0.134,0.244,9.721,0.579,95.0,2025-07-16T19:04:08.392719,8
fatigued,5,81.34177128387866,25.728596282215413,0.267,0.204,9.775,36.72,0.039,-0.157,9.782,0.852,98.2,2025-07-16T19:04:08.620077,11
stressed,3,105.93841799762686,17.394304025035982,0.641,0.309,16.65,36.8,0.044,0.187,9.695,0.567,96.2,2025-07-16T19:04:08.418536,11
excited,2,103.08955110724825,45.26098979003363,0.455,0.418,22.588,36.96,0.582,0.876,9.837,0.243,96.0,2025-07-16T19:04:08.333179,14
excited,2,79.58226717160616,36.80323492678915,0.588,0.582,23.404,36.98,-0.559,-0.004,9.799,0.242,96.2,2025-07-16T19:04:08.329454,25
anxious,4,113.36533175011009,14.478400559946483,0.841,0.152,20.024,36.65,-0.146,-0.024,9.646,0.911,94.8,2025-07-16T19:04:08.530886,27
excited,2,94.8923438620023,32.19308953477439,0.526,0.101,17.726,36.9,-0.023,-0.107,9.823,0.398,94.8,2025-07-16T19:04:08.305319,9
fatigued,5,81.74839067093137,28.526601231138937,0.181,0.05,11.383,36.7,-0.0,-0.026,9.82,0.752,96.6,2025-07-16T19:04:08.631325,42
calm,0,66.49333923628727,44.9661422823707,0.313,0.046,16.454,36.57,-0.013,-0.01,9.832,0.661,97.1,2025-07-16T19:04:08.195607,48
excited,2,64.45683442969613,33.01948567729991,0.467,0.344,16.04,36.75,-0.702,0.18,9.633,0.973,96.4,2025-07-16T19:04:08.351838,18
stressed,3,91.81083599590858,20.608419077445344,0.864,0.379,19.246,36.94,0.144,-0.18,10.126,0.135,94.7,2025-07-16T19:04:08.419843,39
fatigued,5,59.53109134346286,9.07799469954777,0.291,0.154,10.354,36.57,-0.05,-0.053,9.768,0.509,96.3,2025-07-16T19:04:08.621638,24
excited,2,91.7186809171458,51.62208633547714,0.413,0.305,16.598,36.89,0.192,0.085,9.968,0.645,96.4,2025-07-16T19:04:08.328793,49
excited,2,86.62856324579575,36.952529012688636,0.725,0.357,17.915,36.8,-0.385,-0.308,9.883,0.603,95.6,2025-07-16T19:04:08.355232,37
anxious,4,108.31301353294202,14.658035140929199,0.793,0.245,25.323,36.75,0.003,0.254,9.81,0.226,95.3,2025-07-16T19:04:08.539041,13
excited,2,75.24249720709047,43.41605217954347,0.522,0.522,22.385,36.84,0.377,0.871,9.864,0.619,96.1,2025-07-16T19:04:08.321979,10
focused,1,74.06122814258018,53.87272092447845,0.418,0.054,17.845,36.55,0.041,0.023,9.772,0.669,96.7,2025-07-16T19:04:08.282467,25
focused,1,70.39396094856482,42.15735613102487,0.389,0.037,18.0,36.51,-0.044,-0.042,9.796,0.542,97.3,2025-07-16T19:04:08.258459,7
anxious,4,104.05809698911114,19.074906281637084,0.821,0.378,18.0,37.07,1.194,0.439,9.799,0.672,94.0,2025-07-16T19:04:08.569948,29
calm,0,79.55487358486012,37.25219516415269,0.301,0.086,14.314,36.68,-0.093,-0.048,9.87,0.791,97.5,2025-07-16T19:04:08.131611,10
excited,2,110.67998886904574,47.90175354337383,0.662,0.286,22.411,37.03,0.387,-0.241,9.806,0.896,95.7,2025-07-16T19:04:08.309279,8
stressed,3,89.65710361408823,24.052642983926077,0.55,0.209,22.04,36.89,0.045,0.124,9.987,0.635,95.6,2025-07-16T19:04:08.478657,32
excited,2,89.01416441098529,39.19688576909381,0.759,0.246,19.525,36.89,0.335,-0.045,9.617,0.71,95.8,2025-07-16T19:04:08.406550,9
focused,1,72.30401667390454,39.35050769995137,0.414,0.018,12.0,36.5,0.012,0.034,9.817,0.399,96.7,2025-07-16T19:04:08.282938,21
excited,2,82.39034068194839,31.137749355700244,0.418,0.25,22.258,36.7,0.072,-0.037,9.873,0.576,96.5,2025-07-16T19:04:08.317612,39
focused,1,70.69000885687323,53.119211741017,0.498,0.048,16.483,36.62,0.002,-0.043,9.797,0.327,96.6,2025-07-16T19:04:08.249257,31
fatigued,5,61.814058630268384,20.395961728684238,0.246,0.139,10.84,36.66,-0.062,-0.103,9.887,0.592,98.1,2025-07-16T19:04:08.654526,28
stressed,3,117.0771031798159,23.741533494000386,0.854,0.309,19.344,36.97,0.021,-0.073,10.051,0.965,95.2,2025-07-16T19:04:08.492186,40
anxious,4,118.3828901795371,20.660862289260493,0.696,0.376,27.367,36.77,-0.44,-0.442,9.939,0.73,95.3,2025-07-16T19:04:08.513758,40
excited,2,98.80468818039822,24.847702596923465,0.593,0.4,17.848,36.92,-0.149,-0.156,9.892,0.64,95.5,2025-07-16T19:04:08.389657,27
focused,1,84.25818326966501,34.84886908530924,0.31,0.032,15.84,36.64,-0.013,0.091,9.798,0.737,96.9,2025-07-16T19:04:08.237865,27
stressed,3,93.08188427956594,6.993796353516825,0.519,0.442,20.511,36.91,0.295,0.351,9.857,0.5,97.0,2025-07-16T19:04:08.449918,3
fatigued,5,64.1070979477935,20.656400134717327,0.275,0.269,12.622,36.53,0.065,0.144,9.786,0.886,97.5,2025-07-16T19:04:08.590341,7
focused,1,73.03507505076719,54.98105729195404,0.353,0.047,14.176,36.49,-0.001,0.019,9.782,0.506,96.4,2025-07-16T19:04:08.270609,16
anxious,4,91.62260029695709,19.067948479490184,0.782,0.401,22.578,36.9,0.727,-0.348,9.899,0.704,95.9,2025-07-16T19:04:08.571519,5
fatigued,5,64.53817947996707,26.769188820186983,0.196,0.178,14.104,36.59,0.004,-0.561,9.754,0.905,97.5,2025-07-16T19:04:08.602353,32
calm,0,72.1735673162168,52.327707926049406,0.45,0.013,12.664,36.44,-0.019,0.006,9.79,0.244,97.1,2025-07-16T19:04:08.205375,33
calm,0,77.81734441794265,44.844746668754404,0.162,0.073,14.228,36.57,-0.159,-0.01,9.782,0.471,97.2,2025-07-16T19:04:08.120904,47
excited,2,78.76904864863707,51.328888569506994,0.673,0.346,19.689,36.67,-0.274,0.413,9.938,0.817,95.6,2025-07-16T19:04:08.373202,16
stressed,3,88.74600428888476,23.29335260326555,0.709,0.469,21.191,36.88,0.256,-0.882,9.834,0.517,95.9,2025-07-16T19:04:08.446883,41
focused,1,83.41911108391956,61.08875306294974,0.326,0.073,16.014,36.53,0.021,0.056,9.788,0.469,97.2,2025-07-16T19:04:08.288506,36
anxious,4,102.40014449629007,27.721555845952256,0.864,0.252,21.146,36.97,-0.007,-0.069,9.727,0.677,94.9,2025-07-16T19:04:08.544700,36
anxious,4,78.48655470708533,21.94266988908922,0.812,0.491,24.472,37.06,-0.354,-0.57,9.956,0.552,94.6,2025-07-16T19:04:08.557780,30
focused,1,72.63135066218115,52.45042512206374,0.476,0.031,17.077,36.61,0.02,-0.004,9.776,0.571,96.6,2025-07-16T19:04:08.300289,17
calm,0,61.7297707427564,63.166768348442915,0.341,0.133,12.421,36.57,0.149,-0.166,9.787,0.464,97.2,2025-07-16T19:04:08.186102,35
calm,0,61.08092825569359,53.22230111854933,0.356,0.049,18.0,36.47,-0.012,0.027,9.772,0.779,96.8,2025-07-16T19:04:08.106782,16
stressed,3,85.35659654800489,24.464625623886437,0.542,0.256,20.625,36.85,0.01,0.282,9.509,0.217,96.3,2025-07-16T19:04:08.489259,29
focused,1,68.64762198906136,46.22241018871984,0.37,0.004,16.503,36.55,0.004,0.003,9.8,0.442,96.2,2025-07-16T19:04:08.295987,32
anxious,4,127.81397343652763,14.265538067899666,0.869,0.308,21.834,37.0,0.106,-0.127,9.75,0.203,94.4,2025-07-16T19:04:08.551561,13
fatigued,5,75.32232595985818,35.89300462596235,0.322,0.051,12.546,36.54,0.049,0.053,9.807,0.467,96.0,2025-07-16T19:04:08.589211,39
